space_type,area_sqm,length_m,width_m,sunlight_hours,shade_level,wind_exposure,water_access,drainage_quality,avg_day_temp_c,peak_surface_temp_c,humidity_pct,rainfall_level,heat_island_score,maintenance_level,budget_level,preferred_style,edible_preference,flowering_preference,pet_safe_required,irrigation_allowed,data_source,species_aloe_vera,species_basil_sweet,species_bougainvillea,species_cherry_tomato,species_chilli,species_coriander,species_curry_leaf,species_geranium_pelargonium,species_hibiscus,species_jade_plant,species_lemongrass,species_malabar_spinach,species_marigold,species_mint,species_plumeria,species_portulaca,species_pothos,species_prickly_pear,species_sedum,species_snake_plant,species_spider_plant,species_tulsi_holy,species_vinca,species_zinnia
ROOFTOP_indoor,5.0,2.0,2.5,5.5,LOW,0.311,CARRY_BUCKETS,OK,32.5,49.5,65,DRY,0.36,0,1,food_garden,1,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,3.61,1.94,1.86,7.9,LOW,0.161,CARRY_BUCKETS,POOR,29.9,48.8,36,MODERATE,0.857,0,2,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
BALCONY_outdoor,3.27,1.64,1.99,8.5,LOW,0.407,CARRY_BUCKETS,GOOD,37.3,56.9,37,DRY,0.674,1,1,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
ROOFTOP_outdoor,2.97,1.66,1.79,7.8,LOW,0.395,SPOUT_NEAR,GOOD,30.1,49.4,58,HEAVY,0.771,1,0,ornamental_color,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ROOFTOP_outdoor,1.77,1.28,1.38,8.0,LOW,0.91,CARRY_BUCKETS,GOOD,29.1,43.4,54,HEAVY,0.704,2,0,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
BALCONY_outdoor,4.81,2.15,2.24,3.5,MEDIUM,0.663,HOSE_ON_DECK,POOR,39.8,59.8,83,MODERATE,0.407,1,0,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ROOFTOP_outdoor,9.91,3.7,2.68,7.5,LOW,0.169,CARRY_BUCKETS,GOOD,31.1,46.1,81,DRY,0.688,2,3,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
BALCONY_outdoor,4.0,2.21,1.81,6.7,LOW,0.243,CARRY_BUCKETS,GOOD,31.6,37.6,52,MODERATE,0.698,2,2,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BALCONY_outdoor,5.08,2.64,1.92,4.7,MEDIUM,0.682,SPOUT_NEAR,OK,33.5,52.9,51,MODERATE,0.464,1,2,food_garden,1,1,0,0,synthetic_bootstrap_v1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
TERRACE_outdoor,3.74,1.75,2.14,7.4,LOW,0.53,SPOUT_NEAR,GOOD,31.5,50.9,33,DRY,0.463,3,0,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
BALCONY_indoor,2.68,1.7,1.58,1.8,HIGH,0.485,SPOUT_NEAR,OK,35.2,43.0,50,MODERATE,0.395,1,0,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
BALCONY_outdoor,5.11,2.61,1.96,3.2,HIGH,0.5,SPOUT_NEAR,GOOD,34.2,49.0,48,MODERATE,0.934,2,2,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
TERRACE_outdoor,2.45,1.36,1.8,11.3,LOW,0.455,SPOUT_NEAR,OK,36.2,48.8,62,HEAVY,0.867,3,2,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
TERRACE_outdoor,1.79,1.2,1.49,8.1,LOW,0.311,SPOUT_NEAR,GOOD,39.2,57.4,67,DRY,0.714,2,3,cooling_green,1,1,0,1,synthetic_bootstrap_v1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
ROOFTOP_outdoor,2.92,2.09,1.4,9.6,LOW,0.792,CARRY_BUCKETS,OK,29.5,45.0,53,DRY,0.948,3,2,ornamental_color,1,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
BALCONY_outdoor,2.28,1.85,1.23,8.1,LOW,0.332,HOSE_ON_DECK,OK,37.8,46.4,74,HEAVY,0.882,0,1,cooling_green,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
ROOFTOP_outdoor,3.24,2.17,1.49,7.0,MEDIUM,0.271,CARRY_BUCKETS,OK,29.5,48.3,49,DRY,0.725,0,1,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
BALCONY_outdoor,2.13,1.68,1.27,7.3,LOW,0.14,CARRY_BUCKETS,GOOD,32.3,39.2,88,DRY,0.92,3,0,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ROOFTOP_outdoor,3.33,2.19,1.52,8.9,LOW,0.202,SPOUT_NEAR,OK,33.5,47.1,74,DRY,0.823,3,1,mixed_edible_ornamental,0,0,0,0,synthetic_bootstrap_v1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TERRACE_outdoor,2.79,1.85,1.51,5.9,MEDIUM,0.666,RAIN_ONLY,OK,29.2,45.3,43,HEAVY,0.514,2,3,food_garden,0,0,0,1,synthetic_bootstrap_v1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
BALCONY_outdoor,5.59,2.29,2.44,7.4,MEDIUM,0.374,SPOUT_NEAR,POOR,35.1,44.5,63,DRY,0.926,2,1,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
BALCONY_outdoor,2.46,1.66,1.48,7.0,MEDIUM,0.942,CARRY_BUCKETS,OK,33.0,44.2,55,DRY,0.695,1,2,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
ROOFTOP_outdoor,6.56,2.87,2.29,8.7,MEDIUM,0.729,CARRY_BUCKETS,OK,37.2,54.3,71,MODERATE,0.398,1,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
TERRACE_outdoor,1.58,1.46,1.08,8.9,MEDIUM,0.227,CARRY_BUCKETS,GOOD,40.4,49.8,61,MODERATE,0.768,1,1,food_garden,1,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
BALCONY_outdoor,1.5,1.45,1.03,3.2,HIGH,0.3,HOSE_ON_DECK,GOOD,37.9,53.3,40,HEAVY,0.535,0,1,ornamental_color,1,0,0,1,synthetic_bootstrap_v1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
TERRACE_outdoor,15.73,3.92,4.01,6.9,MEDIUM,0.474,SPOUT_NEAR,GOOD,34.5,45.4,37,MODERATE,0.79,0,0,mixed_edible_ornamental,1,1,1,0,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
BALCONY_outdoor,5.88,2.65,2.22,6.2,LOW,0.339,CARRY_BUCKETS,OK,38.6,53.2,78,DRY,0.781,2,0,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
BALCONY_outdoor,2.32,1.4,1.66,4.8,LOW,0.754,SPOUT_NEAR,POOR,37.6,51.3,38,MODERATE,0.42,2,1,mixed_edible_ornamental,1,0,0,0,synthetic_bootstrap_v1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
ROOFTOP_indoor,6.39,3.02,2.12,4.6,MEDIUM,0.582,SPOUT_NEAR,GOOD,38.4,55.1,70,MODERATE,0.649,1,1,ornamental_color,0,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
BALCONY_indoor,1.5,1.47,1.02,2.1,HIGH,0.624,HOSE_ON_DECK,OK,29.0,44.3,68,MODERATE,0.382,2,2,ornamental_color,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
ROOFTOP_outdoor,17.67,3.72,4.75,7.7,MEDIUM,0.202,HOSE_ON_DECK,GOOD,35.4,46.8,86,MODERATE,0.542,1,0,cooling_green,0,0,0,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
BALCONY_indoor,3.41,2.1,1.62,5.3,LOW,0.153,CARRY_BUCKETS,GOOD,33.0,48.0,62,MODERATE,0.443,0,3,minimal_low_care,1,1,0,0,synthetic_bootstrap_v1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
TERRACE_outdoor,4.5,2.02,2.23,8.2,LOW,0.831,HOSE_ON_DECK,GOOD,37.0,46.2,60,MODERATE,0.377,1,1,ornamental_color,1,0,0,1,synthetic_bootstrap_v1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
TERRACE_outdoor,1.86,1.36,1.37,9.1,MEDIUM,0.926,CARRY_BUCKETS,GOOD,30.6,50.4,56,DRY,0.936,0,1,food_garden,1,0,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
BALCONY_outdoor,2.18,1.47,1.48,5.0,MEDIUM,0.473,CARRY_BUCKETS,POOR,31.3,51.2,34,MODERATE,0.597,2,1,ornamental_color,0,1,1,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
ROOFTOP_outdoor,4.77,2.11,2.26,6.8,LOW,0.85,SPOUT_NEAR,OK,28.8,38.7,40,MODERATE,0.472,1,2,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
TERRACE_outdoor,12.55,3.81,3.29,10.2,LOW,0.159,SPOUT_NEAR,GOOD,39.0,51.9,49,HEAVY,0.649,1,1,cooling_green,1,0,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
ROOFTOP_outdoor,16.98,5.1,3.33,9.5,LOW,0.935,SPOUT_NEAR,OK,39.7,47.7,74,MODERATE,0.495,0,3,food_garden,1,0,0,1,synthetic_bootstrap_v1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ROOFTOP_outdoor,9.79,3.35,2.92,7.2,MEDIUM,0.558,RAIN_ONLY,OK,36.3,46.5,37,MODERATE,0.59,1,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ROOFTOP_outdoor,6.46,3.08,2.1,10.9,LOW,0.936,CARRY_BUCKETS,GOOD,35.8,43.5,74,MODERATE,0.455,3,2,food_garden,1,0,0,0,synthetic_bootstrap_v1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
ROOFTOP_outdoor,6.05,2.49,2.43,7.6,MEDIUM,0.404,SPOUT_NEAR,OK,36.6,43.3,59,HEAVY,0.514,1,2,ornamental_color,0,1,0,0,synthetic_bootstrap_v1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
TERRACE_outdoor,5.22,2.39,2.18,11.0,LOW,0.305,SPOUT_NEAR,OK,33.9,47.6,51,HEAVY,0.861,2,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
BALCONY_outdoor,3.11,1.73,1.8,5.9,MEDIUM,0.289,SPOUT_NEAR,OK,39.9,55.0,43,MODERATE,0.666,0,3,mixed_edible_ornamental,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
ROOFTOP_outdoor,5.93,2.84,2.09,7.3,LOW,0.588,SPOUT_NEAR,POOR,31.7,49.6,58,DRY,0.878,3,0,mixed_edible_ornamental,1,0,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
TERRACE_outdoor,1.5,1.13,1.33,5.1,LOW,0.414,CARRY_BUCKETS,OK,31.1,46.8,51,MODERATE,0.429,2,1,mixed_edible_ornamental,1,1,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
TERRACE_outdoor,1.5,1.35,1.11,8.1,LOW,0.803,SPOUT_NEAR,OK,36.3,46.1,66,MODERATE,0.434,0,2,food_garden,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
ROOFTOP_outdoor,1.5,1.2,1.25,10.5,LOW,0.179,RAIN_ONLY,POOR,31.4,47.7,53,HEAVY,0.559,1,1,mixed_edible_ornamental,0,1,0,0,synthetic_bootstrap_v1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
ROOFTOP_outdoor,1.8,1.44,1.25,9.4,LOW,0.836,RAIN_ONLY,OK,36.0,44.2,80,DRY,0.87,0,1,food_garden,1,1,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
BALCONY_outdoor,1.5,1.51,0.99,4.3,LOW,0.704,SPOUT_NEAR,GOOD,36.8,43.4,41,MODERATE,0.436,2,0,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
ROOFTOP_indoor,5.98,3.02,1.98,5.2,MEDIUM,0.34,RAIN_ONLY,OK,29.7,41.5,71,MODERATE,0.807,2,3,mixed_edible_ornamental,0,0,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BALCONY_outdoor,5.08,1.97,2.58,8.9,LOW,0.668,CARRY_BUCKETS,GOOD,34.8,45.8,57,DRY,0.726,2,1,cooling_green,1,0,0,1,synthetic_bootstrap_v1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
TERRACE_outdoor,1.5,1.17,1.28,8.6,LOW,0.891,SPOUT_NEAR,OK,29.9,38.1,50,MODERATE,0.381,2,2,ornamental_color,0,1,0,1,synthetic_bootstrap_v1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1
BALCONY_indoor,1.97,1.44,1.37,4.8,LOW,0.912,HOSE_ON_DECK,OK,30.4,43.6,85,HEAVY,0.452,1,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
BALCONY_indoor,2.45,1.8,1.36,3.0,HIGH,0.92,CARRY_BUCKETS,OK,31.7,46.6,49,HEAVY,0.891,3,2,minimal_low_care,1,0,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0
BALCONY_outdoor,3.22,2.0,1.61,5.9,MEDIUM,0.346,HOSE_ON_DECK,GOOD,39.3,49.7,57,MODERATE,0.726,2,2,ornamental_color,1,1,1,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
ROOFTOP_outdoor,4.55,1.94,2.35,10.8,MEDIUM,0.159,SPOUT_NEAR,POOR,35.4,53.4,39,HEAVY,0.656,1,0,food_garden,1,0,0,0,synthetic_bootstrap_v1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ROOFTOP_outdoor,2.38,1.82,1.31,11.3,LOW,0.28,SPOUT_NEAR,OK,39.1,45.2,81,MODERATE,0.618,1,1,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
BALCONY_outdoor,5.85,2.49,2.35,4.6,MEDIUM,0.519,CARRY_BUCKETS,POOR,32.8,40.3,43,DRY,0.874,1,0,food_garden,1,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
TERRACE_outdoor,4.21,2.05,2.05,8.5,LOW,0.307,SPOUT_NEAR,OK,33.1,40.6,56,HEAVY,0.707,1,2,cooling_green,0,1,1,1,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
ROOFTOP_outdoor,6.22,3.05,2.04,7.4,MEDIUM,0.232,SPOUT_NEAR,OK,31.6,51.1,35,MODERATE,0.822,1,0,mixed_edible_ornamental,0,0,1,0,synthetic_bootstrap_v1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
TERRACE_outdoor,2.04,1.76,1.16,5.7,MEDIUM,0.92,CARRY_BUCKETS,POOR,39.0,56.4,64,HEAVY,0.773,2,2,mixed_edible_ornamental,0,1,0,1,synthetic_bootstrap_v1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
ROOFTOP_outdoor,7.16,2.93,2.44,11.0,LOW,0.937,CARRY_BUCKETS,POOR,28.5,41.3,67,MODERATE,0.65,3,3,ornamental_color,0,0,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
TERRACE_outdoor,14.03,4.39,3.2,8.7,MEDIUM,0.088,CARRY_BUCKETS,OK,30.5,47.7,73,HEAVY,0.639,1,0,mixed_edible_ornamental,0,0,0,1,synthetic_bootstrap_v1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
BALCONY_outdoor,2.45,1.69,1.45,3.9,MEDIUM,0.313,CARRY_BUCKETS,OK,30.0,39.2,50,DRY,0.528,2,1,ornamental_color,0,1,0,0,synthetic_bootstrap_v1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
TERRACE_outdoor,1.5,1.38,1.09,6.8,LOW,0.636,HOSE_ON_DECK,OK,35.9,50.8,64,MODERATE,0.669,1,1,cooling_green,0,1,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
TERRACE_outdoor,3.95,1.81,2.18,9.6,LOW,0.087,RAIN_ONLY,POOR,40.2,50.1,39,DRY,0.617,0,0,food_garden,1,0,0,1,synthetic_bootstrap_v1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
TERRACE_outdoor,3.39,2.06,1.65,6.9,LOW,0.424,RAIN_ONLY,OK,33.4,39.6,76,DRY,0.707,1,3,cooling_green,0,0,1,0,synthetic_bootstrap_v1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
