code,display_name,scientific_name,family,genus,kingdom,category,growth_habit,cycle,native_range_notes,invasive_risk,hardiness_zone_min,hardiness_zone_max,max_height_cm,edible,flowering,pet_safe,drought_tolerant,heat_tolerant,low_maintenance,min_sun_hours,max_sun_hours,drought_tolerance,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,tags_json,notes,image_url,image_thumbnail,image_license,image_source,image_local_path,ml_weight,active,source_perenual,source_gbif,source_wikipedia,source_seed,confidence
jade_plant,Jade plant,Crassula ovata,Crassulaceae,Crassula,Plantae,SUCCULENT,SUCCULENT,Perennial,Species of succulent,LOW,,,,false,true,false,true,true,true,4,8,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,0.9,0.8,"[""succulent"",""wind_ok""]",Slow; afternoon shade on very hot roofs reduces leaf scorch.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Crassula_ovata_700.jpg/330px-Crassula_ovata_700.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Crassula_ovata_700.jpg/330px-Crassula_ovata_700.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
sedum,Sedum (stonecrop),Sedum spp.,,,Plantae,SUCCULENT,SUCCULENT,Perennial,,LOW,,,,false,true,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,0.9,0.8,"[""green_roof"",""drought""]",Green roof / shallow tray candidate; sharp drainage.,,,CC,,,1,true,no,no,no,yes,0.1
prickly_pear,Prickly pear cactus,Opuntia spp.,,,Plantae,SUCCULENT,SUCCULENT,Perennial,,LOW,,,,true,true,false,true,true,true,8,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,0.9,0.8,"[""cactus"",""full_sun""]",Extreme heat/drought; pad handling and spines—pets/kids.,,,CC,,,1,true,no,no,no,yes,0.1
bougainvillea,Bougainvillea,Bougainvillea spp.,,,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,,LOW,,,,false,true,false,true,true,true,8,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""climber"",""color""]",Classic Indian terrace; large pot + trellis; sharp thorns.,,,CC,,,1,true,no,no,no,yes,0.1
hibiscus,Chinese hibiscus,Hibiscus rosa-sinensis,Malvaceae,Hibiscus,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Hybrid species of flowering plant,LOW,,,,false,true,false,false,true,false,6,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""flowering_shrub"",""container""]",Needs water in heat; watch for aphids; great tropical roof vibe.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Hibiscus_Brilliant.jpg/330px-Hibiscus_Brilliant.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Hibiscus_Brilliant.jpg/330px-Hibiscus_Brilliant.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
marigold,Marigold (Genda),Tagetes spp.,,,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,,LOW,,,,true,true,true,true,true,true,6,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,1.5,0.8,"[""annual"",""pest_companion""]",Companion plant; tolerates poor soil; easy from seed.,,,CC,,,1,true,no,no,no,yes,0.1
portulaca,Portulaca (moss rose),Portulaca grandiflora,Portulacaceae,Portulaca,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Rose-like flowering plant,LOW,,,,false,true,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""annual"",""shallow_root""]",Trailing color for shallow planters; loves sun and heat.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/PortulacaGrandiflora.jpg/330px-PortulacaGrandiflora.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/PortulacaGrandiflora.jpg/330px-PortulacaGrandiflora.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
vinca,Periwinkle (Vinca),Catharanthus roseus,Apocynaceae,Catharanthus,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of flowering plant in the family Apocynaceae,LOW,,,,false,true,false,true,true,true,4,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,1.5,0.8,"[""annual"",""container""]",Heat-tolerant color; toxic if ingested—keep from pets.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg/330px-Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg/330px-Catharanthus_roseus_%28Pink_Madagascar_Periwinkle%29.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
zinnia,Zinnia,Zinnia elegans,Asteraceae,Zinnia,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of flowering plant,LOW,,,,true,true,true,true,true,true,6,12,MED,SUBTROPICAL,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""annual"",""pollinator""]",Cut-and-come-again; excellent for hot balconies.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zinnienbl%C3%BCte_Zinnia_elegans_stack15_20190722-RM-7222254.jpg/330px-Zinnienbl%C3%BCte_Zinnia_elegans_stack15_20190722-RM-7222254.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zinnienbl%C3%BCte_Zinnia_elegans_stack15_20190722-RM-7222254.jpg/330px-Zinnienbl%C3%BCte_Zinnia_elegans_stack15_20190722-RM-7222254.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
pothos,Money plant (Pothos),Epipremnum aureum,Araceae,Epipremnum,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of plant,LOW,,,,false,false,false,true,true,true,2,6,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,UNSAFE,HIGH,EXCELLENT,2.4,1.6,"[""shade_balcony"",""hanging""]",Bright indirect on hot balconies; avoid direct noon sun.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Money_Plant_%28Epipremnum_aureum%29_4.jpg/330px-Money_Plant_%28Epipremnum_aureum%29_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Money_Plant_%28Epipremnum_aureum%29_4.jpg/330px-Money_Plant_%28Epipremnum_aureum%29_4.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
snake_plant,Snake plant,Dracaena trifasciata,Asparagaceae,Dracaena,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant,LOW,,,,false,true,false,true,true,true,2,8,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,2.4,1.6,"[""low_light_roof_corner"",""wind_ok""]",Tolerates AC-adjacent semi-shade corners; rot if overwatered.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Snake_Plant_%28Sansevieria_trifasciata_%27Laurentii%27%29.jpg/330px-Snake_Plant_%28Sansevieria_trifasciata_%27Laurentii%27%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Snake_Plant_%28Sansevieria_trifasciata_%27Laurentii%27%29.jpg/330px-Snake_Plant_%28Sansevieria_trifasciata_%27Laurentii%27%29.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
spider_plant,Spider plant,Chlorophytum comosum,Asparagaceae,Chlorophytum,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant,LOW,,,,false,true,true,false,true,true,3,6,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,2.4,1.6,"[""hanging"",""shade_balcony""]",Part shade on terraces; brown tips if scorched or salty water.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hierbabuena_0611_Revised.jpg/330px-Hierbabuena_0611_Revised.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hierbabuena_0611_Revised.jpg/330px-Hierbabuena_0611_Revised.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
geranium_pelargonium,Scented geranium,Pelargonium spp.,,,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,,LOW,,,,true,true,false,true,true,true,6,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""container"",""aromatic""]",Good in pots; some scents deter mosquitoes (mild effect).,,,CC,,,1,true,no,no,no,yes,0.1
plumeria,Plumeria (Frangipani),Plumeria spp.,,,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,,LOW,,,,false,true,false,true,true,true,8,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""tropical"",""fragrant""]",Large container; deciduous; protect from waterlogging.,,,CC,,,1,true,no,no,no,yes,0.1
okra,Okra (Bhindi),Abelmoschus esculentus,Malvaceae,Abelmoschus,Plantae,VEGETABLE,VEGETABLE,Perennial,Species of edible plant,LOW,,,,true,true,true,false,true,false,6,10,MED,TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""kitchen_garden"",""monsoon_ok""]",Heat-loving pod crop; deep pot; harvest young pods regularly.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Hong_Kong_Okra_Aug_25_2012.JPG/330px-Hong_Kong_Okra_Aug_25_2012.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Hong_Kong_Okra_Aug_25_2012.JPG/330px-Hong_Kong_Okra_Aug_25_2012.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
spinach_indian,Indian spinach (Palak),Spinacia oleracea,Amaranthaceae,Spinacia,Plantae,HERB,HERB,Perennial,Species of flowering plant,LOW,,,,true,false,true,false,false,false,3,6,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.3,0.8,"[""quick_crop"",""shade_afternoon""]",Cool-season windows in hot climates; afternoon shade; succession plant.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Spinacia_oleracea_Spinazie_bloeiend.jpg/330px-Spinacia_oleracea_Spinazie_bloeiend.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Spinacia_oleracea_Spinazie_bloeiend.jpg/330px-Spinacia_oleracea_Spinazie_bloeiend.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
eggplant_mini,Mini brinjal (eggplant),Solanum melongena,Solanaceae,Solanum,Plantae,VEGETABLE,VEGETABLE,Perennial,Plant species,LOW,,,,true,true,false,false,true,false,6,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,1.5,0.8,"[""container"",""nightshade""]",Nightshade; even moisture; large pot for stability in wind.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Solanum_melongena_24_08_2012_%281%29.JPG/330px-Solanum_melongena_24_08_2012_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Solanum_melongena_24_08_2012_%281%29.JPG/330px-Solanum_melongena_24_08_2012_%281%29.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
luffa,Ridge gourd (Turai),Luffa acutangula,Cucurbitaceae,Luffa,Plantae,VEGETABLE,VEGETABLE,Perennial,Species of flowering plant,LOW,,,,true,true,true,false,true,false,6,10,MED,TROPICAL|HOT_HUMID|TEMPERATE,PART,MED,MED,LOW,1.5,SAFE,HIGH,GOOD,1.5,0.8,"[""vine"",""monsoon_ok""]",Strong trellis; heavy feed and water during fruiting.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Luffa_acutangula_Chinese_okra.jpg/330px-Luffa_acutangula_Chinese_okra.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Luffa_acutangula_Chinese_okra.jpg/330px-Luffa_acutangula_Chinese_okra.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
peace_lily,Peace lily,Spathiphyllum spp.,,,Plantae,FOLIAGE,FOLIAGE,Perennial,,LOW,,,,false,true,false,false,false,true,2,5,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,LOW,GOOD,2.4,1.6,"[""low_light"",""shade_balcony""]",Low light tolerant; keep evenly moist; leaf burn if harsh sun.,,,CC,,,1,true,no,no,no,yes,0.1
jasmine_mogra,Mogra jasmine,Jasminum sambac,Oleaceae,Jasminum,Plantae,ORNAMENTAL,ORNAMENTAL,Perennial,Species of jasmine,LOW,,,,false,true,true,false,true,false,4,8,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY|SUBTROPICAL,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,1.5,0.8,"[""fragrant"",""container""]",Intensely fragrant; afternoon shade on hottest roofs; regular water.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Arabian_jasmin%2C_Tunisia_2010.jpg/330px-Arabian_jasmin%2C_Tunisia_2010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Arabian_jasmin%2C_Tunisia_2010.jpg/330px-Arabian_jasmin%2C_Tunisia_2010.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
vetiver,Vetiver grass,Chrysopogon zizanioides,Poaceae,Chrysopogon,Plantae,GRASS,GRASS,Perennial,Species of plant,LOW,,,,false,true,true,true,true,true,6,12,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,2.5,2.5,"[""cooling"",""erosion_help""]",Deep roots; high transpiration when established; contain spread in small pots.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vetiver_grass.jpg/330px-Vetiver_grass.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vetiver_grass.jpg/330px-Vetiver_grass.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
sweet_potato_vine,Sweet potato vine,Ipomoea batatas,Convolvulaceae,Ipomoea,Plantae,CREEPER,ORNAMENTAL,Perennial,Species of edible plant,LOW,,,,true,false,true,true,true,true,4,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,1.5,SAFE,LOW,EXCELLENT,1.5,0.8,"[""ground_cover"",""container""]",Fast-growing ground cover; colourful foliage; edible tubers if grown long enough.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ipomoea_batatas_006.JPG/330px-Ipomoea_batatas_006.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ipomoea_batatas_006.JPG/330px-Ipomoea_batatas_006.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
dracaena_marginata,Dragon tree (Dracaena),Dracaena marginata,Asparagaceae,Dracaena,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant,LOW,,,,false,false,false,true,true,true,3,8,MED,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,2.4,1.6,"[""shade_balcony"",""accent""]",Architectural accent; tolerates partial shade on shaded balconies; low water.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Dracaena_reflexa.JPG/330px-Dracaena_reflexa.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Dracaena_reflexa.JPG/330px-Dracaena_reflexa.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
coleus,Coleus,Plectranthus scutellarioides,Lamiaceae,Coleus,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of flowering plant,LOW,,,,false,true,true,false,true,true,2,6,MED,TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,SAFE,HIGH,GOOD,2.4,1.6,"[""shade_balcony"",""colorful""]",Vivid foliage for shaded balconies; pinch flowers to keep leaf colour; keep moist.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Plectranthus_scutellarioides_-_El_Yunque_nat_park_PR_IMG_2120.JPG/330px-Plectranthus_scutellarioides_-_El_Yunque_nat_park_PR_IMG_2120.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Plectranthus_scutellarioides_-_El_Yunque_nat_park_PR_IMG_2120.JPG/330px-Plectranthus_scutellarioides_-_El_Yunque_nat_park_PR_IMG_2120.JPG,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
ficus_pumila,Creeping fig,Ficus pumila,Moraceae,Ficus,Plantae,CLIMBER,CLIMBER,Perennial,Species of climbing fig,LOW,,,,false,false,false,false,true,true,2,6,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,3,2.8,"[""wall_climber"",""shade_balcony""]",Self-clinging wall climber; good shade cover on balcony walls; keep evenly moist.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ficus_pumila_%28Leafs%29.jpg/330px-Ficus_pumila_%28Leafs%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ficus_pumila_%28Leafs%29.jpg/330px-Ficus_pumila_%28Leafs%29.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
adenium,Desert rose (Adenium),Adenium obesum,Apocynaceae,Adenium,Plantae,SUCCULENT,SUCCULENT,Perennial,Species of plant,LOW,,,,false,true,false,true,true,true,6,12,MED,TROPICAL|HOT_HUMID|SUBTROPICAL|TEMPERATE,PART,MED,MED,LOW,0,UNSAFE,HIGH,GOOD,0.9,0.8,"[""drought"",""full_sun"",""bonsai_style""]",Stunning red/pink blooms; xeric champion; reduce water in monsoon to prevent rot.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Adenium_Obesum_Flower_Side_Macro_Mar22_D72_23052-58_ZS_P.jpg/330px-Adenium_Obesum_Flower_Side_Macro_Mar22_D72_23052-58_ZS_P.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Adenium_Obesum_Flower_Side_Macro_Mar22_D72_23052-58_ZS_P.jpg/330px-Adenium_Obesum_Flower_Side_Macro_Mar22_D72_23052-58_ZS_P.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
bamboo_dwarf,Dwarf bamboo,Pleioblastus spp.,,,Plantae,GRASS,GRASS,Perennial,,LOW,,,,false,false,true,false,true,false,4,10,MED,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,SAFE,LOW,GOOD,2.5,2.5,"[""privacy_screen"",""container_heavy""]",Privacy screen in large containers; invasive roots — use strong pot; regular water needed.,,,CC,,,1,true,no,no,no,yes,0.1
areca_palm_dwarf,Areca palm (dwarf),Dypsis lutescens,Arecaceae,Dypsis,Plantae,FOLIAGE,FOLIAGE,Perennial,Species of plant from Madagascar,LOW,,,,false,false,true,false,true,false,4,8,MED,SUBTROPICAL,PART,MED,MED,LOW,1.5,SAFE,HIGH,GOOD,2.4,1.6,"[""tropical"",""container""]",Tropical feel; needs consistent moisture and feeding; avoid harsh direct midday sun.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/%E6%95%A3%E5%B0%BE%E8%91%B5Dypsis_lutescens_20210511145013_05.jpg/330px-%E6%95%A3%E5%B0%BE%E8%91%B5Dypsis_lutescens_20210511145013_05.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/%E6%95%A3%E5%B0%BE%E8%91%B5Dypsis_lutescens_20210511145013_05.jpg/330px-%E6%95%A3%E5%B0%BE%E8%91%B5Dypsis_lutescens_20210511145013_05.jpg,CC,wikipedia,,1,true,no,yes,yes,yes,0.5
