species_key,species_name,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,edible,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,growth_habit
bamboo_dwarf,Dwarf bamboo,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,LOW,GOOD,2.5,2.5,GRASS
areca_palm_dwarf,Areca palm (dwarf),SUBTROPICAL,PART,MED,MED,LOW,1.5,0,SAFE,HIGH,GOOD,2.4,1.6,FOLIAGE
caladium,Caladium,TROPICAL|HOT_HUMID,PART,MED,MED,HIGH,0,0,UNSAFE,LOW,GOOD,2.4,1.6,FOLIAGE
brahmi,Brahmi (Bacopa),TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,1.3,0.8,HERB
fenugreek,Methi / Fenugreek,TROPICAL|HOT_HUMID|MONSOON_HEAVY|HOT_DRY|MEDITERRANEAN,PART,MED,MED,LOW,1.5,1,SAFE,LOW,GOOD,1.3,0.8,HERB
bitter_gourd,Bitter gourd (Karela),TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,1,SAFE,LOW,GOOD,1.5,0.8,VEGETABLE
morning_glory,Morning glory,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,HIGH,GOOD,3,2.8,CLIMBER
chrysanthemum,Chrysanthemum (Guldaudi),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,1.5,0.8,ORNAMENTAL
crossandra,Crossandra (Aboli),TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
duranta,Golden dewdrop (Duranta),TROPICAL|HOT_HUMID|SUBTROPICAL,PART,MED,MED,LOW,0,0,UNSAFE,LOW,GOOD,2,1.8,SHRUB
wandering_jew,Tradescantia (Wandering jew),SUBTROPICAL,PART,MED,MED,LOW,1.5,0,UNSAFE,LOW,GOOD,2.4,1.6,FOLIAGE
henna,Henna (Mehndi),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,LOW,GOOD,2,1.8,SHRUB
lemongrass_dense,Dense lemongrass screen,TROPICAL|HOT_HUMID|MONSOON_HEAVY,PART,MED,MED,LOW,0,1,SAFE,HIGH,GOOD,2.5,2.5,GRASS
neem_dwarf,Dwarf neem,TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,LOW,GOOD,2,1.8,SHRUB
impatiens,Impatiens (Touch-me-not),TROPICAL|HOT_HUMID,PART,MED,MED,LOW,0,0,SAFE,HIGH,GOOD,1.5,0.8,ORNAMENTAL
