sample_id,project_type,city_tier,climate_zone,region,area_sqft,usable_area_pct,sunlight_hours,shade_level,floor_level,wind_exposure,load_capacity_level,railing_height_ft,waterproofing_status,drainage_quality,access_ease,surface_type,roof_material,ambient_heat_severity,avg_summer_temp_c,humidity_pct,rainfall_level,air_quality_level,dust_exposure,water_availability,irrigation_possible,orientation,surrounding_built_density,budget_inr,maintenance_preference,aesthetic_style,purpose_primary,child_pet_safe_required,edible_plants_preferred,flowering_preferred,privacy_required,seating_required,shade_required,biodiversity_priority,native_species_preference,recommendation_type,greenery_density,planter_type,irrigation_type,shade_solution,cooling_strategy,maintenance_level_pred,estimated_install_cost_inr,estimated_annual_maintenance_inr,expected_temp_reduction_c,expected_surface_temp_reduction_c,pollinator_support_score,privacy_score,feasibility_score,safety_score,species_primary,species_secondary,species_tertiary,species_mix_type,species_count_estimate,recommendation_acceptance_likelihood,long_term_success_likelihood,heat_mitigation_score,water_efficiency_score,overall_recommendation_score
SYN-000042-000010,balcony,tier_3,tropical_humid,NCR,170.8,68.4,6.82,medium,15,0.4984,medium,3.16,good,poor,moderate,soil_patch,rcc,moderate,32.08,59,moderate,poor,low,limited,0,mixed,high,54137,minimal,tropical_lush,biodiversity,0,0,0,0,0,0,1,1,succulent_forward,sparse,plastic_basic,rainfed_only,none,reflective_mulch,L0_minimal,62257.55,6949.65,5.945,7.015,0.5,0.1,0.8619,0.7057,Holy basil (tulsi),Dwarf lantana,Sedum mix,duo_complement,2,0.482,0.2257,0.6425,0.505,0.5317
SYN-000042-000011,balcony,tier_2,tropical_humid,Hyderabad,169.8,66.5,5.91,medium,11,0.3762,high,3.07,fair,good,moderate,tiles,rcc,low,35.6,72,dry,moderate,low,scarce,0,W,medium,61106,low,native_wild,mixed,0,1,1,0,0,0,0,0,planters_only,sparse,fabric_grow_bag,rainfed_only,none,evapotranspiration_light,L1_light,70271.9,6423.11,3.896,5.724,0.2762,0.1,0.9217,0.7123,Holy basil (tulsi),Malabar spinach,Prickly pear,duo_complement,2,0.5178,0.4535,0.4185,0.45,0.4538
SYN-000042-000012,rooftop,tier_1,composite_monsoon,Ahmedabad,2474.96,76.3,9.06,low,3,0.9679,low,3.36,unknown,good,difficult,wood_deck,rcc,extreme,35.48,71,heavy_monsoon,good,high,plentiful,1,N,very_high,105978,low,colorful_annuals,aesthetics,0,0,1,0,0,1,0,0,shade_first_greenery,very_dense,terracotta,drip_timer,companion_tall_plants,combined_shade_et,L2_moderate,121874.7,15691.15,10.788,15.635,0.508,0.1,0.7548,0.8226,Sedum mix,Portulaca,Plumeria,tri_layer_simple,3,0.665,0.6266,1.0,1.0,0.7954
SYN-000042-000013,terrace,tier_2,tropical_dry,Lucknow,926.62,70.9,7.08,none,11,0.3732,high,4.26,fair,good,easy,concrete,metal_sheet,extreme,37.68,58,moderate,very_poor,medium,adequate,1,SW,high,23788,minimal,kitchen_garden,cooling,1,0,0,0,0,1,0,1,raised_beds,dense,fabric_grow_bag,manual_watering,shade_net_75,combined_shade_et,L1_light,27356.2,2373.84,10.23,12.643,0.63,0.1,0.9198,0.8983,Vetiver grass,Marigold,Sweet potato vine,polyculture_lite,4,0.5821,0.5472,1.0,0.8625,0.6967
SYN-000042-000014,terrace,tier_3,composite_monsoon,Hyderabad,281.33,65.7,8.68,medium,2,0.333,high,3.67,good,ok,moderate,soil_patch,tiles,moderate,33.68,64,moderate,poor,low,scarce,0,mixed,low,138533,low,zen_sparse,cooling,0,0,1,1,0,1,0,0,planters_only,moderate,concrete_custom,rainfed_only,shade_net_50,reflective_mulch,L1_light,159312.95,18928.59,5.227,8.418,0.4236,0.6,0.9819,0.8957,Bougainvillea,Curry leaf screen,Prickly pear,tri_layer_simple,3,0.5115,0.3117,0.5736,0.45,0.5117
SYN-000042-000015,rooftop,tier_2,tropical_dry,Chennai,888.99,64.7,7.8,low,10,0.1893,low,2.92,fair,ok,moderate,concrete,rcc,moderate,35.45,59,heavy_monsoon,good,medium,plentiful,1,NW,medium,22812,moderate,colorful_annuals,cooling,0,0,1,1,1,0,0,0,succulent_forward,moderate,plastic_basic,drip_timer,umbrella_portable,evapotranspiration_light,L2_moderate,26233.8,4313.39,5.856,10.004,0.5529,0.6,0.8512,0.8112,Curry leaf screen,Sedum mix,Dwarf lantana,polyculture_lite,4,0.6259,0.5287,0.6439,1.0,0.6391
SYN-000042-000016,terrace,tier_1,semi_arid,Other,226.66,56.1,9.75,low,15,0.6038,low,4.06,good,poor,moderate,metal_deck,metal_sheet,moderate,29.38,48,dry,poor,low,plentiful,1,W,medium,71301,low,kitchen_garden,food,0,1,0,0,0,1,0,1,herb_focused,dense,plastic_basic,drip_timer,companion_tall_plants,reflective_mulch,L2_moderate,81996.15,12366.01,6.583,9.555,0.3,0.35,0.9137,0.8281,Marigold,Curry leaf,Curry leaf,duo_complement,2,0.5967,0.4089,0.7063,1.0,0.6764
SYN-000042-000017,rooftop,tier_3,tropical_humid,Mumbai_MMR,841.48,66.5,5.98,low,2,0.5615,low,3.87,good,good,easy,concrete,tiles,moderate,33.28,40,heavy_monsoon,very_poor,high,adequate,1,mixed,high,8000,low,native_wild,cooling,0,1,0,0,0,1,0,0,mixed_canopy_lite,sparse,fabric_grow_bag,drip_timer,pergola_lite,evapotranspiration_light,L1_light,12000.0,796.33,5.796,9.307,0.5415,0.1,0.8913,0.9264,Holy basil (tulsi),Coriander,Indian spinach (palak-like),polyculture_lite,4,0.5754,0.5261,0.6287,1.0,0.6783
SYN-000042-000018,rooftop,tier_2,tropical_humid,Ahmedabad,561.78,71.9,10.21,high,12,0.2524,high,3.67,fair,poor,moderate,mixed,rcc,low,37.0,71,heavy_monsoon,moderate,medium,plentiful,1,E,very_high,94243,low,colorful_annuals,cooling,0,1,1,1,0,1,0,1,green_wall_lite,moderate,concrete_custom,drip_timer,shade_net_75,evapotranspiration_light,L1_light,108379.45,11842.03,4.202,5.55,0.4035,0.6,0.9886,0.8749,Lemongrass,Curry leaf screen,Sweet potato vine,tri_layer_simple,3,0.7283,0.618,0.455,1.0,0.7183
SYN-000042-000019,terrace,tier_1,composite_monsoon,Lucknow,434.74,73.9,7.44,none,8,0.3344,medium,3.36,good,good,moderate,mixed,tiles,high,35.67,63,heavy_monsoon,poor,low,adequate,1,mixed,high,80727,high,minimal_modern,aesthetics,0,1,0,0,1,0,0,0,shade_first_greenery,moderate,fabric_grow_bag,drip_timer,pergola_lite,surface_shading,L3_intensive,92836.05,13120.43,7.401,12.609,0.4715,0.35,0.9307,0.827,Lemongrass,Lemongrass screen,Okra,tri_layer_simple,3,0.5001,0.4976,0.8293,1.0,0.7023
SYN-000042-000020,balcony,tier_2,tropical_humid,Jaipur,107.63,63.0,5.37,high,7,0.2921,medium,4.15,fair,good,moderate,concrete,rcc,low,37.82,49,moderate,good,low,adequate,0,NW,high,8000,low,tropical_lush,aesthetics,0,0,0,0,1,0,1,0,green_wall_lite,moderate,terracotta,manual_watering,none,evapotranspiration_light,L1_light,12000.0,675.54,4.221,4.803,0.4878,0.1,0.9414,0.943,Holy basil (tulsi),Jade plant,Sedum mix,duo_complement,2,0.6001,0.5925,0.4604,0.67,0.6366
SYN-000042-000021,terrace,tier_3,semi_arid,Kochi,378.31,78.5,3.95,low,12,0.3555,high,3.58,poor,good,moderate,tiles,rcc,high,32.46,60,moderate,very_poor,medium,plentiful,1,SW,high,151604,minimal,native_wild,cooling,0,1,1,0,1,0,0,1,succulent_forward,very_dense,fabric_grow_bag,drip_timer,shade_net_50,combined_shade_et,L1_light,174344.6,14365.12,7.797,12.837,0.3375,0.1,1.0,0.8846,Holy basil (tulsi),Malabar spinach,Malabar spinach,duo_complement,2,0.66,0.635,0.8577,1.0,0.7948
SYN-000042-000022,balcony,tier_2,tropical_humid,Other,78.98,60.1,5.49,high,7,0.2533,medium,3.25,good,ok,moderate,tiles,unknown,low,30.63,35,dry,very_poor,high,plentiful,1,W,high,119297,minimal,colorful_annuals,aesthetics,0,1,1,0,0,0,0,1,planters_only,sparse,plastic_basic,manual_watering,none,evapotranspiration_light,L0_minimal,45987.61,3774.18,3.636,6.504,0.2625,0.1,1.0,0.8708,Malabar spinach,Coriander,Mint,duo_complement,2,0.765,0.7082,0.3816,0.945,0.7651
SYN-000042-000023,balcony,tier_4,tropical_dry,Hyderabad,62.19,71.3,5.47,medium,9,0.5952,medium,3.23,fair,ok,easy,concrete,metal_sheet,low,35.49,92,moderate,poor,high,limited,0,NW,high,113088,moderate,colorful_annuals,privacy,0,0,1,1,0,0,1,1,succulent_forward,sparse,concrete_custom,manual_watering,umbrella_portable,reflective_mulch,L2_moderate,57615.09,9891.59,3.832,5.131,0.3556,0.35,0.9646,0.9031,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.4523,0.2824,0.4117,0.505,0.4506
SYN-000042-000024,terrace,tier_3,tropical_humid,Kolkata,993.7,73.4,7.37,medium,1,0.6592,medium,3.49,good,good,easy,concrete,unknown,high,37.09,59,heavy_monsoon,poor,medium,adequate,1,W,very_high,123574,low,minimal_modern,mixed,0,0,0,0,1,0,0,1,intensive_green_roof_lite,dense,plastic_basic,drip_timer,shade_net_50,evapotranspiration_heavy,L2_moderate,142110.1,13815.37,8.941,14.039,0.479,0.1,1.0,0.8715,Vetiver grass,Okra,Lemongrass screen,tri_layer_simple,3,0.5868,0.5704,0.9892,1.0,0.7685
SYN-000042-000025,terrace,tier_1,tropical_humid,Other,328.01,77.7,9.46,low,6,0.6016,low,3.48,good,ok,easy,mixed,rcc,low,33.42,77,moderate,moderate,low,limited,1,E,medium,66077,low,minimal_modern,cooling,1,0,1,0,0,1,0,1,planters_only,moderate,concrete_custom,drip_timer,shade_net_50,reflective_mulch,L1_light,75988.55,4314.4,3.503,4.548,0.3847,0.1,0.866,0.9001,Sweet potato vine,Mogra jasmine,Okra,tri_layer_simple,3,0.5552,0.3343,0.3701,0.8975,0.5654
SYN-000042-000026,rooftop,tier_2,tropical_humid,Jaipur,799.04,72.2,9.56,none,15,0.4064,high,3.84,fair,good,easy,tiles,rcc,low,36.64,54,dry,poor,low,limited,1,SW,medium,27717,moderate,zen_sparse,food,0,1,1,0,0,0,1,0,mixed_canopy_lite,sparse,wooden_box,drip_timer,none,evapotranspiration_light,L2_moderate,31874.55,4851.6,5.126,9.357,0.7216,0.1,0.943,0.8008,Marigold,Zinnia,Sweet basil,polyculture_lite,4,0.5583,0.4942,0.5459,0.8975,0.647
SYN-000042-000027,rooftop,tier_1,tropical_humid,Bangalore,1112.78,59.7,7.89,medium,1,0.6703,medium,3.78,good,ok,moderate,concrete,unknown,high,33.31,53,dry,very_poor,high,adequate,1,SE,high,134121,high,tropical_lush,food,0,1,1,0,1,0,0,1,herb_focused,dense,modular_rail_planters,drip_timer,none,combined_shade_et,L3_intensive,154239.15,25969.02,8.118,10.802,0.4591,0.1,0.9358,0.8554,Okra,Marigold,Curry leaf screen,tri_layer_simple,3,0.4549,0.2761,0.8911,1.0,0.6388
SYN-000042-000028,rooftop,tier_2,tropical_humid,Mumbai_MMR,2189.0,65.3,9.43,low,12,0.3493,low,3.32,good,poor,moderate,wood_deck,tiles,high,34.41,68,moderate,good,high,limited,1,SE,medium,101755,moderate,kitchen_garden,biodiversity,1,0,0,1,0,0,0,1,mixed_canopy_lite,moderate,wooden_box,manual_watering,shade_net_50,evapotranspiration_light,L2_moderate,117018.25,20757.7,6.597,8.607,0.4649,0.6,0.8961,0.8764,Curry leaf screen,Okra,Sweet potato vine,tri_layer_simple,3,0.5019,0.4212,0.7436,0.6975,0.5686
SYN-000042-000029,balcony,tier_2,semi_arid,Hyderabad,76.38,74.6,6.23,none,10,0.6805,medium,3.75,poor,good,easy,tiles,wood,high,36.41,46,moderate,moderate,high,limited,1,E,medium,45555,low,colorful_annuals,food,0,1,0,1,1,0,0,0,herb_focused,sparse,vertical_stack,manual_watering,shade_net_50,evapotranspiration_light,L1_light,50008.06,3373.72,6.782,10.825,0.3554,0.6,0.9476,0.8829,Lemongrass screen,Holy basil (tulsi),Lemongrass,duo_complement,2,0.6865,0.6647,0.7706,0.6975,0.6829
SYN-000042-000030,terrace,tier_3,tropical_dry,Kochi,483.67,45.0,7.66,low,6,0.6286,low,4.17,fair,ok,moderate,concrete,rcc,low,34.64,68,dry,moderate,low,limited,0,SE,high,90611,low,zen_sparse,biodiversity,0,1,1,0,0,0,0,1,succulent_forward,sparse,wooden_box,rainfed_only,umbrella_portable,evapotranspiration_light,L1_light,104202.65,4818.0,4.245,5.227,0.3911,0.35,0.9246,0.8816,Curry leaf screen,Bush beans,Prickly pear,tri_layer_simple,3,0.64,0.3885,0.4493,0.505,0.5493
SYN-000042-000031,rooftop,tier_4,tropical_humid,Jaipur,1207.35,53.0,9.73,high,16,0.5685,high,4.02,good,ok,moderate,soil_patch,rcc,low,31.74,43,heavy_monsoon,poor,medium,adequate,1,mixed,medium,128864,moderate,zen_sparse,aesthetics,0,1,0,1,0,0,0,0,intensive_green_roof_lite,sparse,fabric_grow_bag,subirrigation,umbrella_portable,evapotranspiration_light,L1_light,148193.6,15069.93,3.802,5.366,0.3825,0.6,1.0,0.9103,Curry leaf screen,Lemongrass,Lemongrass screen,tri_layer_simple,3,0.7058,0.5098,0.3982,0.8625,0.6532
SYN-000042-000032,rooftop,tier_3,tropical_humid,Pune,2243.83,58.6,9.84,medium,11,0.5411,medium,4.52,good,ok,easy,tiles,rcc,moderate,33.22,35,moderate,moderate,high,plentiful,1,SW,medium,68053,moderate,minimal_modern,privacy,0,1,1,1,0,0,0,1,shade_first_greenery,moderate,vertical_stack,manual_watering,none,evapotranspiration_light,L2_moderate,78260.95,14293.6,5.106,5.978,0.5412,0.6,0.9511,0.8783,Curry leaf screen,Ridge gourd,Marigold,polyculture_lite,4,0.5421,0.4407,0.5596,0.945,0.5979
SYN-000042-000033,terrace,tier_1,semi_arid,Kolkata,452.81,71.1,6.14,medium,12,0.9528,high,3.0,poor,good,moderate,tiles,unknown,moderate,31.95,68,heavy_monsoon,good,medium,adequate,1,SE,low,76964,low,native_wild,aesthetics,0,1,1,1,0,1,1,1,herb_focused,dense,fabric_grow_bag,drip_timer,shade_net_50,evapotranspiration_light,L2_moderate,88508.6,16275.81,7.402,8.154,0.5,0.35,1.0,0.7452,Holy basil (tulsi),Malabar spinach,Malabar spinach,duo_complement,2,0.5359,0.6005,0.7882,1.0,0.7083
SYN-000042-000034,terrace,tier_1,composite_monsoon,Bangalore,186.39,75.0,6.35,low,7,0.4226,high,2.5,good,ok,difficult,concrete,rcc,low,36.26,61,heavy_monsoon,poor,medium,limited,0,mixed,very_high,93250,moderate,mediterranean,privacy,0,1,1,1,0,0,0,0,succulent_forward,dense,plastic_basic,rainfed_only,none,reflective_mulch,L3_intensive,107237.5,19685.64,7.749,11.146,0.3996,0.35,0.9127,0.7799,Holy basil (tulsi),Prickly pear,Malabar spinach,tri_layer_simple,3,0.3019,0.1082,0.8066,0.505,0.4035
SYN-000042-000035,terrace,tier_1,tropical_dry,Bangalore,174.7,69.6,5.21,low,1,0.3944,low,3.31,good,poor,easy,concrete,rcc,low,37.34,92,moderate,moderate,medium,scarce,0,E,medium,37468,high,zen_sparse,mixed,0,0,0,0,0,0,0,0,planters_only,dense,terracotta,manual_watering,umbrella_portable,evapotranspiration_light,L3_intensive,43088.2,5746.59,6.678,12.193,0.1653,0.1,0.8703,0.8806,Holy basil (tulsi),Holy basil (tulsi),Holy basil (tulsi),single_species,1,0.4567,0.2587,0.704,0.45,0.4966
SYN-000042-000036,rooftop,tier_3,tropical_dry,Hyderabad,2625.79,65.6,8.0,none,2,0.2024,high,3.52,good,good,moderate,tiles,rcc,moderate,35.26,43,heavy_monsoon,very_poor,high,adequate,1,SW,high,78197,low,zen_sparse,biodiversity,0,1,0,1,0,0,0,1,intensive_green_roof_lite,sparse,wooden_box,manual_watering,shade_net_50,evapotranspiration_light,L1_light,89926.55,7874.53,5.252,8.63,0.4319,0.6,0.9918,0.83,Curry leaf screen,Ridge gourd,Bottle gourd (compact),tri_layer_simple,3,0.6664,0.6805,0.5827,0.8625,0.709
SYN-000042-000037,rooftop,tier_1,composite_monsoon,Lucknow,1148.75,85.8,7.83,high,4,0.4672,high,3.15,good,ok,easy,tiles,metal_sheet,high,32.89,67,heavy_monsoon,poor,medium,adequate,1,E,very_high,67184,minimal,zen_sparse,food,1,1,0,0,1,1,0,0,mixed_canopy_lite,dense,terracotta,drip_timer,shade_net_75,evapotranspiration_heavy,L1_light,77261.6,4066.48,10.016,11.56,0.5775,0.35,1.0,0.8569,Lemongrass screen,Zinnia,Sweet potato vine,polyculture_lite,4,0.6764,0.5525,1.0,1.0,0.7998
SYN-000042-000038,terrace,tier_4,tropical_humid,Pune,597.46,65.7,6.95,low,11,0.4751,low,3.48,good,good,easy,mixed,rcc,low,32.92,65,moderate,poor,medium,adequate,1,mixed,high,44446,low,native_wild,cooling,0,1,1,0,1,1,1,0,planters_only,moderate,terracotta,manual_watering,shade_net_75,reflective_mulch,L1_light,51112.9,3761.97,3.953,6.103,0.4625,0.1,0.9268,0.8332,Marigold,Mini brinjal,Mini brinjal,duo_complement,2,0.4943,0.5051,0.4133,0.8625,0.5897
SYN-000042-000039,terrace,tier_4,composite_monsoon,NCR,223.39,75.5,6.83,none,20,0.4147,low,3.43,fair,good,moderate,mixed,rcc,low,32.92,74,moderate,good,medium,adequate,1,E,very_high,8000,low,native_wild,low_maintenance_green,0,0,1,0,1,1,0,0,mixed_canopy_lite,sparse,plastic_basic,manual_watering,shade_net_75,reflective_mulch,L1_light,12000.0,1173.36,4.497,5.82,0.3825,0.1,0.8818,0.8427,Marigold,Petunia,Mogra jasmine,tri_layer_simple,3,0.6152,0.6151,0.4677,0.8625,0.6424
SYN-000042-000040,rooftop,tier_3,tropical_humid,Indore,937.48,89.9,10.22,none,3,0.3329,medium,3.29,fair,good,easy,mixed,metal_sheet,moderate,33.84,92,heavy_monsoon,moderate,high,adequate,0,E,high,37731,minimal,minimal_modern,mixed,0,1,1,0,0,0,0,0,planters_only,sparse,plastic_basic,rainfed_only,umbrella_portable,evapotranspiration_light,L0_minimal,43390.65,2383.4,4.844,8.718,0.4244,0.1,0.9221,0.8734,Prickly pear,Scented geranium,Sweet basil,tri_layer_simple,3,0.6473,0.6656,0.5359,0.67,0.6675
SYN-000042-000041,terrace,tier_1,tropical_humid,Kochi,746.0,84.9,7.45,low,9,0.4164,medium,3.81,unknown,ok,moderate,tiles,rcc,low,33.5,73,moderate,good,medium,limited,1,mixed,medium,124092,high,native_wild,cooling,0,0,0,1,0,1,0,0,intensive_green_roof_lite,sparse,plastic_basic,drip_smart,shade_net_50,reflective_mulch,L2_moderate,142705.8,14347.13,4.566,6.176,0.3851,0.6,0.9735,0.8318,Lemongrass screen,Bougainvillea,Curry leaf screen,tri_layer_simple,3,0.4705,0.3976,0.4767,0.8975,0.566
SYN-000042-000042,terrace,tier_1,tropical_humid,Mumbai_MMR,298.42,74.7,5.95,medium,10,0.3733,medium,3.55,unknown,ok,difficult,concrete,rcc,low,31.35,59,moderate,moderate,high,limited,0,NW,medium,69314,minimal,mediterranean,low_maintenance_green,0,0,1,0,0,0,0,1,succulent_forward,dense,plastic_basic,manual_watering,none,evapotranspiration_light,L1_light,79711.1,8844.55,5.584,9.191,0.3825,0.1,0.818,0.7667,Holy basil (tulsi),Malabar spinach,Jade plant,tri_layer_simple,3,0.5879,0.378,0.5764,0.505,0.5764
SYN-000042-000043,rooftop,tier_4,tropical_humid,Mumbai_MMR,1757.88,58.7,9.65,low,5,0.4774,medium,3.33,good,good,easy,soil_patch,rcc,moderate,34.55,70,moderate,good,medium,adequate,1,E,very_high,63805,low,colorful_annuals,aesthetics,0,0,0,0,0,1,0,1,raised_beds,dense,metal_trough,manual_watering,pergola_lite,evapotranspiration_light,L2_moderate,73375.75,12821.64,8.613,15.531,0.5481,0.1,0.9835,0.8655,Marigold,Mini brinjal,Vetiver grass,polyculture_lite,4,0.6854,0.7226,0.9158,0.8625,0.8239
SYN-000042-000044,terrace,tier_2,semi_arid,Bangalore,316.75,71.5,6.78,medium,1,0.6954,high,4.04,good,ok,moderate,concrete,unknown,high,35.25,47,dry,poor,low,plentiful,1,S,high,162914,moderate,tropical_lush,aesthetics,0,0,1,1,1,1,1,0,intensive_green_roof_lite,dense,terracotta,drip_timer,shade_net_50,combined_shade_et,L3_intensive,187351.1,23220.58,10.327,15.491,0.5493,0.6,0.9871,0.8474,Bougainvillea,Lemongrass screen,Lemongrass screen,duo_complement,2,0.4792,0.3534,1.0,1.0,0.649
SYN-000042-000045,terrace,tier_2,tropical_dry,Kolkata,273.98,53.1,8.75,none,13,0.4583,medium,3.97,good,poor,moderate,tiles,rcc,low,33.6,28,moderate,very_poor,high,limited,1,W,high,8000,moderate,minimal_modern,food,0,1,0,1,1,1,1,1,herb_focused,moderate,plastic_basic,drip_timer,shade_net_50,reflective_mulch,L2_moderate,12000.0,1530.96,3.745,4.427,0.5857,0.6,0.9607,0.9012,Lemongrass screen,Curry leaf screen,Ridge gourd,tri_layer_simple,3,0.4933,0.3419,0.395,0.8975,0.5075
